DateTime,Entries,UniqueIPs
1579837476,1779,1779
1579839375,1823,1823
1579841293,1875,1875
1579843212,1900,1900
1579845125,1928,1928
1579847053,1965,1965
1579848970,1988,1988
1579850898,2004,2004
1579853803,2049,2049
1579855691,2067,2067
1579857612,2117,2117
1579859555,2130,2130
1579861452,2127,2127
1579863379,2073,2073
1579865285,2014,2014
1579867237,2002,2002
1579869139,2067,2067
1579871305,2043,2043
1579873257,2007,2007
1579875136,1985,1985
1579877098,1918,1918
1579879000,1944,1944
1579881156,1890,1890
1579883053,1894,1894
1579884999,1939,1939
1579886895,1967,1967
1579889776,1957,1957
1579891695,1968,1968
1579893627,1950,1950
1579895528,1938,1938
1579897473,1965,1965
1579899371,1981,1981
1579901291,1977,1977
1579904191,1961,1961
1579906125,1948,1948
1579908013,1954,1954
1579909948,1951,1951
1579911851,1911,1911
1579913786,1906,1906
1579915689,1933,1933
1579917674,1969,1969
1579919534,1953,1953
1579921705,1923,1923
1579923613,1888,1888
1579925537,1853,1853
1579927465,1848,1848
1579929373,1854,1854
1579931308,1904,1904
1579933211,1912,1912
1579935128,1918,1918
1579937064,1924,1924
1579938969,1912,1912
1579940891,1913,1913
1579943790,1918,1918
1579945720,1941,1941
1579947609,1954,1954
1579949533,1974,1974
1579951467,2003,2003
1579953391,2043,2043
1579955288,2036,2036
1579958171,2077,2077
1579960107,2091,2091
1579962006,2103,2103
1579963939,2103,2103
1579965864,2066,2066
1579967769,2090,2090
1579969690,2103,2103
1579971663,2063,2063
1579973545,2031,2031
1579975714,2005,2005
1579977610,1969,1969
1579979542,1944,1944
1579981463,1858,1858
1579983376,1843,1843
1579985293,1775,1775
1579987221,1759,1759
1579989128,1738,1738
1579991059,1711,1711
1579992981,1678,1678
1579994887,1665,1665
1579996852,1648,1648
1579998736,1626,1626
1580000900,1594,1594
1580002810,1503,1503
1580004744,1472,1472
1580006652,1441,1441
1580008580,1431,1431
1580010503,1426,1426
1580012421,1413,1413
1580014331,1381,1381
1580016264,1347,1347
1580018169,1270,1270
1580020090,1239,1239
1580022971,1196,1196
1580024907,1182,1182
1580026811,1155,1155
1580028726,1109,1109
1580030661,1066,1066
1580032569,1008,1008
1580034509,965,965
1580037371,789,789
1580039302,923,923
1580041210,1095,1095
1580043127,1118,1118
1580045061,1101,1101
1580046969,1178,1178
1580048884,1218,1218
1580051771,1215,1215
1580053690,1211,1211
1580055638,1174,1174
1580057528,1176,1176
1580059449,1244,1244
1580061385,1268,1268
1580063288,1284,1284
1580065222,1406,1406
1580067168,1425,1425
1580069073,1479,1479
1580070970,1516,1516
1580072920,1579,1579
1580074811,1633,1633
1580076730,1782,1782
1580078972,1923,1923
1580080819,1928,1928
1580082726,1935,1935
1580084651,1953,1953
1580086580,1964,1964
1580088489,1978,1978
1580090453,2000,2000
1580092345,2019,2019
1580094511,2033,2033
1580096430,2042,2042
1580098336,2087,2087
1580100261,2120,2120
1580102196,2127,2127
1580104094,2131,2131
1580106018,2149,2149
1580107925,2200,2200
1580109853,2208,2208
1580111791,2228,2228
1580113688,2249,2249
1580115628,2263,2263
1580117546,2288,2288
1580119713,2301,2301
1580121615,2310,2310
1580123536,2311,2311
1580125465,2244,2244
1580127390,2044,2044
1580129535,2027,2027
1580131452,2038,2038
1580133387,1969,1969
1580135290,1950,1950
1580138189,1976,1976
1580140092,2003,2003
1580142026,2022,2022
1580143928,2021,2021
1580145848,1961,1961
1580147781,1979,1979
1580149687,1984,1984
1580151667,1896,1896
1580153549,1896,1896
1580155719,1855,1855
1580157612,1849,1849
1580159557,1796,1796
1580161452,1767,1767
1580163398,1651,1651
1580165307,1543,1543
1580167211,1562,1562
1580169143,1571,1571
1580171050,1567,1567
1580172985,1571,1571
1580174886,1574,1574
1580177775,1547,1547
1580179719,1522,1522
1580181612,1502,1502
1580183531,1489,1489
1580185467,1411,1411
1580187372,1400,1400
1580189291,1391,1391
1580191268,1388,1388
1580193136,1374,1374
1580195324,1365,1365
1580197217,1354,1354
1580199151,1339,1339
1580201052,1315,1315
1580202980,1314,1314
1580204908,1343,1343
1580206824,1324,1324
1580208732,1313,1313
1580210668,1300,1300
1580212575,1234,1234
1580214491,1211,1211
1580216476,1190,1190
1580218343,1158,1158
1580220511,1126,1126
1580222430,1084,1084
1580224588,1044,1044
1580226761,999,999
1580228660,1523,1523
1580230586,2226,2226
1580232516,2200,2200
1580235385,2146,2146
1580237292,2124,2124
1580239226,2109,2109
1580241127,2081,2081
1580243049,2074,2074
1580245001,2052,2052
1580246891,2048,2048
1580248843,2063,2063
1580250750,2063,2063
1580252673,2037,2037
1580254571,2007,2007
1580256512,1999,1999
1580258411,1974,1974
1580260333,1957,1957
1580262264,1961,1961
1580264171,1959,1959
1580266093,1962,1962
1580268021,1961,1961
1580269931,1947,1947
1580271853,1948,1948
1580273795,1952,1952
1580275689,1955,1955
1580278570,1965,1965
1580280491,1967,1967
1580282419,1971,1971
1580284339,1969,1969
1580286255,1965,1965
1580288167,1969,1969
1580290089,1971,1971
1580292054,1963,1963
1580293942,1892,1892
1580296110,1878,1878
