DateTime,Entries,UniqueIPs
1580150174,21815,21815
1580152142,22179,22179
1580154018,22676,22676
1580155935,23040,23040
1580157878,23477,23477
1580159777,23751,23751
1580161708,24194,24194
1580163613,24501,24501
1580165547,24939,24939
1580167452,25183,25183
1580169374,25478,25478
1580171322,25858,25858
1580173388,26304,26304
1580175374,26222,26222
1580177316,26105,26105
1580179243,25935,25935
1580181163,25775,25775
1580183057,25629,25629
1580184981,25457,25457
1580186919,25304,25304
1580188814,25172,25172
1580190732,25057,25057
1580192673,24894,24894
1580194626,24770,24770
1580196499,24633,24633
1580199625,24418,24418
1580201532,24232,24232
1580203469,24041,24041
1580205378,23689,23689
1580207302,23509,23509
1580209371,23330,23330
1580211383,23018,23018
1580213296,22679,22679
1580215213,22285,22285
1580217155,21852,21852
1580219052,21376,21376
1580221007,20841,20841
1580222901,20264,20264
1580224829,19601,19601
1580226769,18960,18960
1580228669,19589,19589
1580230611,20022,20022
1580232527,19554,19554
1580235624,18664,18664
1580237529,18120,18120
1580239450,17581,17581
1580241388,16983,16983
1580243289,16511,16511
1580246181,15750,15750
1580248100,15636,15636
1580250038,16584,16584
1580251935,15976,15976
1580253885,15629,15629
1580255787,15263,15263
1580257692,14771,14771
1580260600,14156,14156
1580262496,14123,14123
1580264443,14115,14115
1580266353,14111,14111
1580268298,14118,14118
1580270203,14123,14123
1580272103,14121,14121
1580274270,14120,14120
1580276186,14133,14133
1580278111,14135,14135
1580280022,14118,14118
1580281940,14090,14090
1580283880,14071,14071
1580285787,14049,14049
1580287720,14044,14044
1580289625,14102,14102
1580291535,14113,14113
1580293472,14091,14091
1580295387,14065,14065
1580297318,14058,14058
