DateTime,Entries,UniqueIPs
1579645819,1284,1284
1579647373,1289,1289
1579648517,1288,1288
1579649293,1295,1295
1579650135,1292,1292
1579651552,1291,1291
1579653016,1292,1292
1579654537,1298,1298
1579655655,1301,1301
1579656494,1305,1305
1579657337,1294,1294
1579659256,1296,1296
1579660936,1289,1289
1579661773,1291,1291
1579662920,1286,1286
1579664022,1335,1335
1579665315,1290,1290
1579666517,1283,1283
1579668137,1280,1280
1579669823,1289,1289
1579671739,1287,1287
1579672574,1285,1285
1579673656,1288,1288
1579674916,1291,1291
1579676027,1290,1290
1579677256,1271,1271
1579678581,1270,1270
1579680037,1267,1267
1579681217,1269,1269
1579682418,1257,1257
1579683376,1270,1270
1579684457,1272,1272
1579685314,1274,1274
1579686976,1271,1271
1579688056,1269,1269
1579689734,1261,1261
1579691352,1269,1269
1579692507,1278,1278
1579693815,1271,1271
1579695016,1268,1268
1579696933,1268,1268
1579698616,1269,1269
1579700535,1264,1264
1579702458,1266,1266
1579703586,1262,1262
1579704974,1273,1273
1579706117,1267,1267
1579706894,1268,1268
1579709654,1259,1259
1579710502,1263,1263
1579711814,1254,1254
1579713256,1254,1254
1579714391,1249,1249
1579715679,1254,1254
1579716854,1252,1252
1579717996,1260,1260
1579719317,1275,1275
1579720455,1289,1289
1579721296,1304,1304
1579722137,1320,1320
1579722972,1328,1328
1579724117,1346,1346
1579725735,1369,1369
1579726578,1387,1387
1579727725,1411,1411
1579729333,1431,1431
1579730172,1444,1444
1579731320,1458,1458
1579732095,1468,1468
1579733414,1485,1485
1579734854,1497,1497
1579735696,1507,1507
1579737058,1524,1524
1579738457,1540,1540
1579739713,1553,1553
1579741424,1568,1568
1579743615,1588,1588
1579744838,1606,1606
1579745657,1616,1616
1579746758,1626,1626
1579748117,1638,1638
1579749318,1652,1652
1579750937,1691,1691
1579751775,1685,1685
1579752917,1692,1692
1579753696,1693,1693
1579754537,1687,1687
1579756226,1676,1676
1579757416,1679,1679
1579759065,1689,1689
1579760418,1689,1689
1579761735,1680,1680
1579763658,1688,1688
1579764494,1691,1691
1579765338,1677,1677
1579766174,1681,1681
1579767275,1678,1678
1579768517,1671,1671
1579769715,1672,1672
1579770849,1668,1668
1579772423,1656,1656
1579773988,1653,1653
1579775115,1660,1660
1579776974,1650,1650
1579778118,1641,1641
1579779318,1630,1630
1579781419,1629,1629
1579783338,1628,1628
1579784173,1631,1631
1579785257,1631,1631
1579786649,1636,1636
1579787745,1638,1638
1579788853,1631,1631
1579790537,1633,1633
1579792073,1632,1632
1579793419,1638,1638
1579794615,1648,1648
1579795790,1652,1652
1579796058,1653,1653
1579797315,1652,1652
1579798441,1653,1653
1579799654,1652,1652
1579800493,1655,1655
1579801336,1645,1645
1579803256,1653,1653
1579804513,1637,1637
1579805683,1634,1634
1579807694,1634,1634
1579809313,1627,1627
1579810515,1624,1624
1579812136,1612,1612
1579812972,1617,1617
1579814055,1603,1603
1579815618,1594,1594
1579816575,1598,1598
1579818493,1605,1605
1579821253,1614,1614
1579822111,1617,1617
1579824616,1609,1609
1579826538,1607,1607
1579827375,1609,1609
1579828457,1608,1608
1579830134,1606,1606
1579831235,1609,1609
1579832416,1613,1613
1579833748,1612,1612
1579834573,1616,1616
1579835654,1614,1614
1579836494,1616,1616
1579838176,1636,1636
1579839319,1640,1640
1579840097,1640,1640
1579842623,1635,1635
1579843820,1618,1618
1579845377,1627,1627
1579846473,1627,1627
1579848021,1622,1622
1579848974,1629,1629
1579850055,1626,1626
1579851735,1623,1623
1579852575,1623,1623
1579853657,1614,1614
1579854495,1617,1617
1579855336,1610,1610
1579856174,1619,1619
1579857319,1621,1621
1579859256,1614,1614
1579860617,1612,1612
1579862538,1600,1600
1579864456,1603,1603
1579865294,1612,1612
1579866974,1617,1617
1579868057,1616,1616
1579869236,1604,1604
1579870514,1603,1603
1579871717,1603,1603
1579873218,1598,1598
1579874176,1601,1601
1579875256,1598,1598
1579876488,1590,1590
1579877832,1592,1592
1579879216,1590,1590
1579880416,1587,1587
1579881373,1592,1592
1579882520,1592,1592
1579883715,1596,1596
1579884974,1589,1589
1579886894,1590,1590
1579887736,1580,1580
1579889655,1575,1575
1579890918,1566,1566
1579893258,1555,1555
1579894100,1557,1557
1579895328,1536,1536
1579896855,1529,1529
1579897693,1532,1532
1579899375,1507,1507
1579900518,1505,1505
1579902142,1479,1479
1579904056,1482,1482
1579905735,1465,1465
1579907656,1452,1452
1579908915,1446,1446
1579910116,1443,1443
1579911258,1431,1431
1579912406,1418,1418
1579914263,1400,1400
1579916536,1383,1383
1579917373,1384,1384
1579918455,1378,1378
1579920134,1359,1359
1579923326,1364,1364
1579924575,1332,1332
1579925717,1312,1312
1579926495,1311,1311
1579928114,1288,1288
1579929258,1283,1283
1579930944,1261,1261
1579931775,1266,1266
1579932917,1251,1251
1579934118,1235,1235
1579935635,1215,1215
1579938016,1182,1182
1579939814,1171,1171
1579940053,1172,1172
1579942577,1150,1150
1579943748,1151,1151
1579945334,1142,1142
1579947255,1140,1140
1579950625,1143,1143
1579951702,1149,1149
1579952801,1146,1146
1579954456,1151,1151
1579956135,1136,1136
1579956975,1141,1141
1579958115,1135,1135
1579959618,1129,1129
1579960575,1139,1139
1579961717,1130,1130
1579963334,1111,1111
1579965017,1098,1098
1579966936,1096,1096
1579967776,1098,1098
1579968855,1097,1097
1579970417,1089,1089
1579971374,1095,1095
1579972456,1094,1094
1579973293,1095,1095
1579974973,1093,1093
1579976117,1095,1095
1579977315,1093,1093
1579978577,1099,1099
1579979718,1098,1098
1579981337,1087,1087
1579982489,1081,1081
1579983618,1087,1087
1579984815,1077,1077
1579986857,1077,1077
1579987696,1076,1076
1579988538,1064,1064
1579989373,1065,1065
1579990457,1060,1060
1579991293,1062,1062
1579992134,1055,1055
1579994054,1056,1056
1579995734,1051,1051
1579997656,1051,1051
1579998495,1055,1055
1580000169,1044,1044
1580001320,1037,1037
1580002934,1032,1032
1580004624,1031,1031
1580007995,1020,1020
1580009300,1033,1033
1580010805,1034,1034
1580012119,1021,1021
1580013915,1024,1024
1580015423,1025,1025
1580017337,1022,1022
