DateTime,Entries,UniqueIPs
1579975720,62,62
1579979546,63,63
1579985333,65,65
1579987228,66,66
1579989160,66,66
1579991066,64,64
1579994927,65,65
1579998986,67,67
1580000904,66,66
1580002817,67,67
1580004749,66,66
1580008587,66,66
1580010511,64,64
1580012427,66,66
1580016313,68,68
1580018175,67,67
1580020094,66,66
1580022297,65,65
1580024188,69,69
1580026123,68,68
1580028020,69,69
1580029952,72,72
1580031863,66,66
1580033777,66,66
1580035736,63,63
1580037615,63,63
1580041466,62,62
1580043379,61,61
1580045292,60,60
1580049409,59,59
1580051317,61,61
1580053238,60,60
1580055150,59,59
1580057075,63,63
1580058986,61,61
1580060900,58,58
1580062835,59,59
1580064738,60,60
1580066664,58,58
1580068592,61,61
1580070507,59,59
1580073386,58,58
1580075326,62,62
1580077232,64,64
1580079418,65,65
1580081297,63,63
1580083491,66,66
1580085383,64,64
1580087305,64,64
1580089215,62,62
1580091149,65,65
1580093067,67,67
1580094982,69,69
1580096930,70,70
1580098842,73,73
1580100731,78,78
1580102657,76,76
1580104602,76,76
1580106497,79,79
1580108699,82,82
1580110579,80,80
1580112509,81,81
1580114435,79,79
1580116343,80,80
1580122357,82,82
1580124277,84,84
1580126209,85,85
1580132190,86,86
1580134111,85,85
1580138205,83,83
1580140102,83,83
1580142035,80,80
1580143939,80,80
1580145857,80,80
1580147790,79,79
1580149709,79,79
1580151941,82,82
1580153783,81,81
1580155727,82,82
1580157621,83,83
1580159566,81,81
1580161461,76,76
1580163407,73,73
1580167224,74,74
1580169153,73,73
1580171088,74,74
1580172995,71,71
1580174895,73,73
1580177055,71,71
1580178973,70,70
1580181170,66,66
1580183060,68,68
1580184984,63,63
1580186921,58,58
1580188817,56,56
1580190735,56,56
1580192679,56,56
1580194628,52,52
1580196503,54,54
1580199633,55,55
1580201535,57,57
1580203472,54,54
1580207305,53,53
1580209465,55,55
1580211388,52,52
1580213303,51,51
1580215215,53,53
1580217161,55,55
1580219055,59,59
1580221014,62,62
1580222907,67,67
1580224832,71,71
1580226772,76,76
1580228676,77,77
1580230617,74,74
1580232529,76,76
1580234627,78,78
1580236822,77,77
1580238995,79,79
1580240897,81,81
1580242827,82,82
1580244730,82,82
1580246665,85,85
1580248592,84,84
1580253385,90,90
1580255296,92,92
1580257224,93,93
1580259133,97,97
1580261052,100,100
1580262987,104,104
1580264893,107,107
1580266995,110,110
1580268997,113,113
1580270930,117,117
1580272818,125,125
1580274735,128,128
1580276669,128,128
1580278572,128,128
1580280494,132,132
1580282424,127,127
1580284343,128,128
1580286260,125,125
1580288172,127,127
1580290094,129,129
1580292220,131,131
1580294178,134,134
1580296114,134,134
