DateTime,AddedIPs,RemovedIPs
1580135301,611,186
1580137494,673,219
1580139373,697,201
1580142262,737,353
1580144191,738,253
1580146097,598,184
1580148259,752,195
1580150176,596,198
1580152146,564,178
1580154020,683,179
1580155937,570,196
1580157879,693,194
1580159779,592,265
1580161709,737,220
1580163615,603,221
1580165548,693,215
1580167454,404,141
1580169375,483,162
1580171325,597,224
1580173463,666,222
1580175376,160,203
1580177319,83,190
1580179245,66,230
1580181166,58,222
1580183059,61,226
1580184983,56,222
1580186920,57,232
1580188816,59,204
1580190734,60,193
1580192675,72,220
1580194627,53,190
1580196502,57,168
1580199628,85,307
1580201533,40,224
1580203471,53,222
1580205380,64,431
1580207304,135,293
1580209420,66,262
1580211385,69,424
1580213299,60,452
1580215214,63,475
1580217157,56,511
1580219054,54,530
1580221009,61,618
1580222903,50,653
1580224830,50,646
1580226770,62,693
1580228672,1057,415
1580230613,1159,737
1580232528,108,578
1580234566,71,713
1580236821,73,663
1580238991,56,670
1580240896,57,679
1580242825,98,535
1580244728,71,714
1580246664,71,602
1580248591,68,719
1580250488,73,601
1580253384,121,876
1580255294,60,389
1580257223,82,620
1580259130,65,656
1580261051,71,317
1580262984,55,132
1580264892,60,60
1580266937,73,68
1580268766,64,74
1580270740,55,72
1580272571,68,58
1580274514,86,80
1580276412,86,69
1580278335,66,66
1580280267,79,78
1580282176,67,55
1580284099,60,71
1580286019,67,50
1580287948,77,55
1580289860,182,63
1580291784,75,51
1580293693,76,82
1580295802,82,147
