DateTime,Entries,UniqueIPs
1579843921,9199,9878
1579844522,9197,9876
1579845722,9200,9878
1579846322,9199,9877
1579847521,9201,9879
1579848121,9203,9881
1579849322,9211,9889
1579849921,9217,9893
1579850521,9218,9894
1579851721,9208,9883
1579852921,9212,9887
1579854121,9210,9883
1579855322,9203,9875
1579856521,9194,9860
1579857722,9188,9853
1579858321,9190,9855
1579858921,9195,9862
1579859521,9199,9866
1579860122,9205,9872
1579860721,9204,9868
1579861321,9206,9870
1579861922,9208,9872
1579863122,9207,9871
1579863721,9210,9874
1579864921,9212,9876
1579866121,9202,9866
1579867321,9202,9867
1579868521,9196,9861
1579869721,9191,9854
1579870322,9191,9854
1579870922,9180,9842
1579871521,9181,9843
1579872122,9184,9846
1579873321,9187,9849
1579874522,9170,9833
1579875721,9175,9841
1579876321,9177,9837
1579876922,9177,9836
1579878121,9178,9834
1579878721,9180,9838
1579879322,9183,9842
1579879921,9182,9842
1579880521,9185,9846
1579881121,9179,9839
1579882921,9180,9840
1579884121,9184,9845
1579884721,9184,9845
1579885321,9185,9850
1579886522,9186,9846
1579887121,9184,9842
1579887721,9179,9837
1579888921,9178,9835
1579889521,9171,9827
1579890121,9176,9832
1579891321,9170,9822
1579892521,9169,9821
1579893121,9174,9826
1579893721,9178,9830
1579894322,9179,9832
1579894922,9179,9832
1579896121,9165,9817
1579896721,9172,9824
1579898522,9164,9814
1579899121,9161,9811
1579900322,9156,9803
1579900922,9161,9811
1579901522,9151,9799
1579902721,9150,9796
1579903321,9155,9802
1579903921,9156,9800
1579905121,9156,9796
1579905721,9161,9804
1579906321,9158,9800
1579906921,9157,9797
1579908121,9155,9793
1579909321,9158,9795
1579909921,9160,9797
1579910522,9165,9805
1579911121,9168,9809
1579911721,9169,9813
1579912321,9163,9810
1579912922,9157,9803
1579913521,9160,9806
1579914121,9165,9811
1579915321,9155,9790
1579916521,9151,9786
1579917721,9145,9779
1579918321,9142,9776
1579918921,9150,9783
1579920122,9150,9783
1579921321,9148,9772
1579922521,9142,9766
1579923721,9140,9764
1579924321,9144,9768
1579924922,9147,9771
1579925521,9144,9768
1579926121,9135,9759
1579927322,9137,9759
1579928521,9140,9762
1579929721,9119,9742
1579930922,9125,9745
1579931521,9125,9744
1579933322,9114,9731
1579933921,9114,9733
1579934521,9110,9729
1579935721,9111,9730
1579936921,9123,9743
1579938121,9107,9727
1579939321,9106,9725
1579939921,9107,9726
1579941121,9098,9715
1579941721,9103,9721
1579942322,9101,9719
1579944122,9096,9713
1579945322,9098,9715
1579945922,9091,9707
1579946522,9100,9716
1579947122,9095,9711
1579947721,9098,9714
1579948322,9087,9703
1579948922,9086,9703
1579950722,9076,9693
1579951921,9076,9693
1579952521,9079,9696
1579953121,9081,9698
1579953721,9078,9695
1579954321,9078,9695
1579954921,9079,9696
1579955522,9077,9695
1579956121,9079,9697
1579956721,9079,9697
1579958521,9074,9690
1579960921,9069,9684
1579962122,9069,9685
1579962721,9072,9683
1579963321,9069,9680
1579964521,9068,9679
1579965121,9066,9677
1579965721,9063,9674
1579966921,9050,9660
1579967522,9049,9660
1579968721,9054,9665
1579969322,9047,9656
1579969921,9049,9658
1579971122,9039,9645
1579972321,9025,9626
1579972922,9026,9629
1579974121,9015,9617
1579974721,9008,9609
1579975921,9011,9612
1579976521,9009,9610
1579977721,8998,9598
1579978922,8994,9593
1579980121,8997,9596
1579980721,8997,9596
1579981321,8982,9581
1579981921,8988,9588
1579982521,8988,9589
1579983721,8994,9596
1579984921,8964,9568
1579986122,8961,9565
1579987322,8958,9562
1579987921,8956,9560
1579988521,8943,9546
1579989721,8949,9556
1579990921,8946,9552
1579991521,8937,9543
1579992121,8940,9546
1579993321,8929,9533
1579994521,8922,9526
1579995721,8917,9518
1579996321,8918,9519
1579996922,8909,9511
1579997521,8909,9511
1579998122,8904,9503
1579998721,8906,9505
1579999321,8905,9504
1580000521,8907,9506
1580001721,8905,9501
1580002321,8907,9503
1580002921,8905,9502
1580004121,8913,9510
1580005321,8909,9504
1580005921,8898,9491
1580007122,8907,9500
1580007721,8904,9494
1580008921,8904,9495
1580010121,8903,9495
1580011321,8909,9500
1580011921,8903,9493
1580012521,8903,9495
1580013721,8898,9490
1580014322,8888,9481
1580015521,8889,9477
1580016121,8885,9474
1580017322,8866,9453
1580018521,8863,9450
1580019722,8857,9444
1580020921,8844,9429
1580021521,8839,9423
1580022721,8841,9425
1580023322,8843,9427
1580024521,8844,9428
1580025721,8839,9422
1580026921,8840,9420
1580027521,8827,9407
1580028721,8814,9397
1580029321,8815,9398
1580030521,8821,9404
1580031121,8823,9406
1580031721,8831,9414
1580032321,8829,9411
1580032921,8826,9409
1580034121,8819,9400
1580034722,8818,9399
1580035321,8819,9400
1580035921,8815,9393
1580036521,8816,9394
1580037122,8821,9399
1580037721,8823,9401
1580038322,8824,9402
1580038922,8828,9406
1580040121,8823,9401
1580041321,8820,9398
1580042521,8820,9399
1580043122,8820,9399
1580044321,8821,9400
1580044921,8820,9399
1580046121,8815,9391
1580047321,8820,9395
1580048521,8816,9391
1580049721,8814,9389
1580050922,8815,9390
1580052121,8817,9392
1580052721,8815,9393
1580053322,8822,9400
1580054522,8814,9392
1580055721,8806,9384
1580056921,8796,9374
1580058121,8800,9378
1580059322,8793,9363
1580059922,8795,9365
1580060521,8784,9354
1580061122,8784,9354
1580061721,8780,9348
1580062921,8770,9336
1580063522,8771,9337
1580064121,8771,9335
1580065321,8771,9334
1580066522,8762,9323
1580067721,8761,9322
1580068921,8762,9320
1580069522,8759,9315
1580070121,8760,9316
1580071321,8748,9300
1580071921,8745,9291
1580073121,8748,9294
1580073721,8747,9288
1580074321,8754,9295
1580074921,8753,9293
1580075521,8754,9291
1580076121,8752,9289
1580077322,8745,9283
1580079122,8728,9263
1580079721,8726,9260
1580080921,8728,9262
1580081521,8723,9260
1580082121,8728,9265
1580083322,8708,9241
1580084521,8702,9236
1580085722,8695,9229
1580086921,8691,9225
1580088121,8683,9215
1580088721,8690,9222
1580089321,8685,9216
1580089921,8689,9220
1580090521,8684,9213
1580091722,8673,9198
1580092921,8680,9205
1580094122,8674,9197
1580095321,8658,9179
1580096522,8640,9157
1580097121,8641,9158
1580098322,8642,9156
1580098921,8643,9157
1580099521,8648,9160
1580100721,8652,9165
1580101321,8648,9159
1580102521,8650,9161
1580103721,8634,9145
1580104921,8633,9143
1580106121,8630,9135
1580106721,8632,9137
1580107321,8632,9135
1580108521,8625,9126
1580109121,8617,9117
1580110321,8608,9107
1580110921,8609,9108
1580111521,8597,9095
1580112722,8594,9087
1580113321,8594,9087
1580114522,8597,9090
1580115721,8587,9078
1580116321,8591,9082
1580117521,8577,9066
1580118121,8574,9063
1580119321,8572,9061
1580120521,8573,9062
1580121721,8575,9064
1580122321,8540,9028
1580123521,8548,9036
1580124122,8546,9036
1580124722,8546,9036
1580125321,8546,9037
1580125921,8542,9032
1580126521,8542,9032
1580127122,8547,9038
1580128321,8545,9035
